SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000001,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,7.75,7.25,5.5,9.8,,2022
02000002,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,7.5,6,4.5,9.4,,2022
02000003,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,6.5,7,4.5,4.2,,2022
02000004,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.5,,,8.25,5.25,6,8.8,,2022
02000005,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,6,4.5,,,,9.4,7.5,2022
02000006,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,7,6.25,3.75,8.6,,2022
02000007,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,,,7,4,3,5.4,,2022
02000008,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.75,,,8.5,7,4.25,7.4,,2022
02000009,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,8.25,7.5,,,,7.8,8.25,2022
02000010,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,6.25,7.75,4.25,7.2,,2022
02000011,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,6.5,5.25,7,,,,8.2,7.75,2022
02000012,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5.5,,,7.75,7.75,4.5,5.4,,2022
02000013,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6,5.25,5.75,,,,7.4,8.5,2022
02000014,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,,,8.75,7.5,4.5,7.8,,2022
02000015,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,8.5,7,,,,9,8,2022
02000016,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,5,4.75,,,,8,7.5,2022
02000017,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.75,8.25,,,,8.4,7.75,2022
02000018,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,8.5,7.75,5.5,9.4,,2022
02000019,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,6.5,3.25,3.75,6.2,,2022
